HITID,CASE,COMPANY,HOW_CONDUCT_WAS_DISCOVERED,Worker,Answer,Date
3KA7IJSNW6598ASVNWAS259O5T7PBC,12,DELTA & PINE,"Turk Deltapine's payments to MOA officials did not cease until 2006, when the payments came to light in connection with Monsanto's pre-acquisition due diligence of Delta & Pine.   Delta & Pine self-disclosed to the SEC.",AHP3TKMY58D8Z,Yes,2015-04-07 23:43:11 UTC
3FVBZG9CLJEGB6RX635Y9FBESY1H0E,13,DOW,"The payments were made without the authorization or knowledge of any Dow employee.  Once Dow discovered the matter, it conducted an internal investigation and voluntarily disclosed its findings to the SEC.  Dow also took a number of remedial actions, including employee terminations and disciplinary actions.The company retained an independent auditor to conduct a forensic audit of the books and records and internal controls at DE-Nocil and reported its internal investigation to the Audit Committee of the Board of Directors.  Dow provided FCPA compliance training to DE-Nocil employees, as well as to employees of its Dow AgroSciences business unit more broadly.  Dow also restructured its global compliance program, including (i) improving and expanding FCPA compliance training for employees of Dow and its subsidiaries worldwide; (ii) training its internal auditors to recognize FCPA issues; and (iii) joining a non-profit association specializing in anti-bribery due diligence that, among other things, screens potential partners and other third parties that work with multinational corporations and provides FCPA training to them.  In addition, the company hired an independent consultant to review and assess its FCPA compliance program.",A21YQXPL0SNNR2,Yes,2015-04-07 23:38:55 UTC
3EPG8DX9LKQ7JUBMMMJFZJ9WVXMP5C,14,GREENS,"The Greens were arrested on 18 December 2007 on charges of conspiring to pay more than USD 1.7 million in bribes to former TAT governor Siriwan in return for the contracts to administer the annual Bangkok International Film Festival.  On 1 October 2008, the grand jury returned a superseding indictment adding new charges alleging bribery of Siriwan in exchange for the elite privilege card contracts, as well as money laundering charges and allegations that Mrs. Green knowingly subscribed two false U.S. corporate income tax returns.",AHP3TKMY58D8Z,No,2015-04-07 23:37:23 UTC
3FO95NVK5C0T19PCBA0CXPJ3AZHRS7,15,HALLIBURTON / KBR,"According to press reports, the TSKJ bribery scheme in Nigeria came to light during the course of investigations by French prosecutors into Elf-Aquitane's operations in Asia and Africa. During those investigations, Georges Krammer, former director general of Technip, was accused of paying EUR 3 million in illegal commissions.  Although disputed by Technip management, Krammer claimed that the commissions were legal and in line with company policy.  Facing charges of misappropriation, Krammer went before a French judge and disclosed how Technip's commission payment system worked in Indonesia, Thailand and on the LNG Project in Nigeria.  This prompted a French investigation into the Nigeria LNG bribery scandal, which then triggered investigations by the United States, Switzerland, and Nigeria.",AIQB7XXL5K2FR,No,2015-04-07 23:37:21 UTC
3SBNLSTU6U5W1BSLO1Z0OTZ2IDRDZT,16,HELMERICH & PAYNE,"In early 2008, H&P; designed and implemented a stand-alone set of FCPA policies and procedures as part of an effort to improve the company's compliance with the FCPA.  In connection with this effort, the company also designed and conducted worldwide FCPA training for its key employees.  During a training session in May 2008, an employee disclosed that potentially improper payments had been made by H&P; Argentina to Argentina customs officials through a customs broker.  The information was transmitted to the H&P;'s corporate headquarters and came to the attention of the general counsel in July 2008.  In response, H&P; retained outside FCPA counsel and independent forensic accountants to conduct an internal investigation into the customs payment practices of H&P;'s subsidiaries in various Latin American countries.  H&P;'s internal investigation identified fifty improper payments made to government customs officials in Argentina and Venezuela from 2003 through 2008, totaling approximately USD 185,673.  In October 2008, H&P; voluntarily disclosed its initial findings to the DOJ and SEC.",A21YQXPL0SNNR2,I don't know,2015-04-07 23:39:07 UTC
37M4O367VJI1YRE9U6RNIFF1QSB5MW,17,HIOKI,"Hioki was one of eight foreign executive arrested on 2 May 2007 in Houston and San Francisco and charged for their roles in the marine hose cartel, after participating in a cartel meeting in Houston.",AG0X3PQK2FWQJ,Yes,2015-04-07 23:41:45 UTC
3MDWE879UH2OGNCO67EVGF990PQB94,18,IBM (ARGENTINA),"Argentine authorities began investigating the BNA transaction after a routine tax audit uncovered evidence that some of the money IBM-Argentina paid to CCR had been passed on to phantom companies.  Fifteen BNA directors and IBM-Argentina executives were indicted for bribery in Argentina and the Argentine judge overseeing the investigation issued an international arrest warrant, through Interpol, for four U.S. IBM executives (the warrants were later withdrawn).  Bribery investigations were also opened into five additional IBM-Argentina public contracts, along with an investigation into possible tax evasion (through the claiming of the alleged bribes as deductible expenses).  After learning of the investigations launched in Argentina, IBM launched an internal investigation.  According to the SEC, after IBM learned that its policies and procedures had been circumvented by IBM-Argentina's former senior management, the company took immediate corrective action.  Among other things, IBM-Argentina's Vice President of Operations was terminated, and the General Manager and Vice President of Finance were both asked to resign from their positions, which they did.  In addition, all future payments to CCR under the subcontract were stopped and IBM enhanced its internal controls with respect to FCPA compliance.",AG0X3PQK2FWQJ,No,2015-04-08 00:18:02 UTC
32CXT5U14G33YH2K16PCL96M54F8UT,19,ITT,"In December 2005, ITT's Corporate Compliance Ombudsman received an anonymous complaint from NGP employees alleging that improper payments were being made by NGP employees to Chinese government officials.  ITT self-disclosed the violations to the SEC.",A18TCR555RWUZV,Yes,2015-04-07 23:39:50 UTC
3ICOHX7ENCB4RW0VG2XSOCE10I9E0V,20,NATURE'S SUNSHINE,"According to NSP, in March 2006 the company made a voluntary disclosure to the DOJ and SEC based on an independent investigation conducted by the company's audit committee.  NSP stated that it fully cooperated with the government's investigation and that it expects no action by the DOJ in connection with this matter.In addition to hiring a new chief financial officer and a new general counsel and chief compliance officer, NSP also stated that it had conducted a vigorous review of its internal controls, implemented new controls, and undertaken numerous, additional remediation activities, including FCPA training for employees.",A2QLSHXNCHBRN4,Yes,2015-04-07 23:41:07 UTC
3CIS7GGG65JK7ICBE9BCDJ28G7CUED,21,PACIFIC CONSOLIDATED INDUSTRIES,"In late 2003, after the conduct alleged in court documents occurred, a group of investors acquired PCI and re-named it Pacific Consolidated Industries LLC (""PCI LLC"").  PCI LLC disclosed the matter to the DOJ and cooperated in the government's investigation.",A2WGW5Y3ZFBDEC,Yes,2015-04-08 00:21:55 UTC
3TY2U1TEB7AJ4IN9GBIP3X6P4ZBJJS,23,AGA MEDICAL,AGA self-disclosed the violations to the DOJ.,AEVU71Z2FDTUX,No,2015-04-07 23:38:16 UTC
3OB6JN3A9QPQ3EC7RD4QLGKXIA0MRR,24,"CONTROL COMPONENTS, INC.",CCI uncovered the bribery scheme in 2007 and conducted an internal investigation. The Company voluntarily disclosed the conduct to the DOJ in August 2007.,A1NM7ZPZ3NH412,Yes,2015-04-07 23:40:27 UTC
3DW3BNF1GHI3BWRK6WZHHV85JBO8VI,25,METCALF & EDDY,"During 1994, M&E; bid on, and was awarded, a U.S. Agency for International Development (""USAID"") contract to provide support for the maintenance of wastewater treatment facilities managed by the Alexandria General Organization for Sanitary Drainage (""AGOSD""), the government agency responsible for sewage and wastewater treatment facilities in Alexandria, Egypt.  The contract lasted from November 1994 until May 1997.  In 1995, M&E; bid on a second USAID contract to provide architectural and engineering services to AGOSD, which lasted from August 1995 until June 1997.  The contracts were awarded by USAID and were reviewed by a Technical Review Board with five voting members.  AGOSD had one voting position and participated in the evaluation and scoring of bidders.  The Chairman of AGOSD did not participate in the evaluation and scoring process, but he could exert influence over AGOSD's representatives on the Technical Review Board.  He could also influence USAID's decision by making his preference for certain companies known. In 1994, M&E; paid for the Chairman of AGOSD and his wife and children to travel to Boston, Massachusetts; Washington, DC; Chicago, Illinois; and Orlando, Florida.  The purpose of the trip was for the Chairman of AGOSD to attend a water conference in Chicago.  In 1996, M&E; paid for a second trip for the Chairman and his family to visit Paris, France; Boston, Massachusetts; and San Diego, California.  On both trips, M&E; provided the Chairman with 150% of his estimated per diem expenses before he left Egypt.  In addition, M&E; paid for the majority of the Chairman and his family's travel and entertainment expenses during the course of both trips.  M&E; also paid to upgrade the Chairman to first class on both trips, and paid to upgrade his family to first class on the second trip.  An officer of M&E; received two undocumented cash advances prior to the 1996 trip, which was used to pay for expenses connected to the Chairman's trip.  M&E; inaccurately recorded expenses related to these trips in its books and records. While in the United States in 1994, the Chairman signed an order on behalf of AGOSD recommending M&E; for the first contract.  Two months before the second trip, an M&E; employee wrote to the Chairman expressing the company's interest in continuing its contract on the project and requesting AGOSD's support through the Chairman's contacts at USAID and in the Egyptian government.  Shortly after the second trip, the Chairman sent a letter to USAID requesting an extension of the first contract.",A2WGW5Y3ZFBDEC,I don't know,2015-04-07 23:42:35 UTC
368IUKXGA5832YB0R5TKRPNWRSXP6S,26,MICRUS,The conduct was discovered prior to the company's initial public offering. Micrus voluntarily disclosed the conduct to the DOJ.,A2QLSHXNCHBRN4,Yes,2015-04-07 23:39:54 UTC
3GKAWYFRAPT2N7QF1S1YXVXO8EJPDJ,27,MONSANTO,Monsanto became aware of possible financial irregularities within its Indonesian affiliates in 2001.   Monsanto subsequently began an internal investigation at the request of the Board of Directors.  Monsanto then voluntarily disclosed the potential violations to the DOJ and SEC.,A2LVGE0TI3E7Q9,Yes,2015-04-07 23:39:14 UTC
3TX9T2ZCB91VAHSC5W4QGHONPTXZWO,29,WARTSILA,"On October 23, 2009, charges of aggravated bribery were brought against Wartsila Finland's former Senior Manager at the District Court of Mustasaari in Finland.  The public prosecutor also demanded a corporate fine of at least EUR 500,000 from Wartsila's subsidiary, Wartsila Finland, in the same context.  The alleged bribes were supposedly made in connection with a power plant tender in Kenya in 1997.  The power plant was delivered in 2001.  The public prosecutor claimed that the Senior Manager made improper payments amounting to EUR 3.4 million to a Kenyan officer working as the Managing Director and President of the Kenya Power and Lighting Company.  In addition to the corporate fine, the public prosecutor has demanded the economic benefits from the project, EUR 3.4 million, to be forfeited to the State. Wartsila considers the demands unfounded and Wartsila Finland's former Senior Manager has denied the charges brought against him.",AIQB7XXL5K2FR,No,2015-04-07 23:41:48 UTC
3UEBBGULPFOCDWC79KVIV1N8S8RUFV,30,PATRIA,"It is possible that the initial disclosures were made by Wolfgang Riedl, who served as Patria's go-between person in both the Slovenia and the Croatia sales.After some of the ""commission"" payments had been made, another attempt to transfer money in Austria was suspected of being money laundering.  This precipitated a joint investigation among Finnish, Austrian and Slovenian authorities.",A27PBC5O3Z5ZED,No,2015-04-07 23:37:59 UTC
3ZFRE2BDQ9EAZHX2F10CI02UYV3ZXH,31,MAGYAR TELEKOM,"PricewaterhouseCoopers (""PWC"") identified two questionable contracts when conducting its audit of Magyar Telekom's 2005 financial statements.  As a result of these findings, in February 2006 Magyar Telekom's Audit Committee retained White & Case as its independent legal counsel to conduct an investigation into whether the company made payments under those contracts, or other contracts, that were potentially prohibited by U.S. laws or regulations, including the FCPA, or by the company's internal policy.   Magyar Telekom is listed on the New York Stock Exchange (""NYSE"").  The company disclosed the internal investigation to the Hungarian Financial Supervisory Authority (""HFSA""), as well as to the DOJ and SEC in the United States.",A2QLSHXNCHBRN4,Yes,2015-04-07 23:43:01 UTC
3TD33TP5DL22L6MTYDSVCAKT678BAJ,32,AKZO NOBEL,"Akzo Nobel self-disclosed the violations to the U.S. Department of Justice (‰ÛÏDOJ‰Ûù) and U.S. Securities and Exchange Commission (‰ÛÏSEC‰Ûù) following the publication of the final report of the Independent Inquiry Committee into the U.N. Oil for Food Program, which listed Akzo Nobel.",AAXYYH9MI3PJM,Yes,2015-04-07 23:39:14 UTC
36U4VBVNQOD9GMHG0FVCCQ1RVW2RUN,33,KATY INDUSTRIES,"In early 1972, Wallce E. Carroll, Katy's Chairman and CEO, sought to obtain an oil exploration concession in Indonesia.  As a result, a Katy director and a Katy consultant, who were close personal friends with a high level Indonesian government official, met with this official and one of his representatives.  At that meeting, the official agreed to assist Katy in obtaining an oil production sharing contract.  Katy agreed to compensate the consultant upon receipt of the contract, understanding that the consultant would give a portion of his compensation to the official and his representative.   From September 1972 to March 1974, Katy paid the consultant at least USD 43,750 in consulting fees.  Katy also retained the official's representative as an agent for Katy and paid him at least USD 22,500 between December 1972 and September 1973, in addition to reimbursing him for out-of-pocket expenses incurred on behalf of Katy.In January 1974, Katy entered into a 30-year production-sharing contract with Pertamina, the Indonesian government-owned oil and gas company, granting Katy the exclusive right to explore and develop oil and natural gas within a designated area of Indonesia.  According to the complaint, the total cost of this contract was USD 10,000,000.  Between January 1974 and April 1975, Jacobs and Carroll negotiated agreements setting forth the plan to compensate the official, the official's representative and the consultant through an offshore corporation in the Cayman Islands to be created by the consultant.  Katy agreed to pay the offshore corporation 13.33% of Katy-Indonesia's annual net profits arising from the contract, for the benefit of the official, his representative and the consultant.  Between March and April 1975, Katy paid the consultant USD 50,000 as an advance on payments to be made to the offshore corporation.  Additional advances totaling USD 200,000 were paid in four installments between September 1975 and May 1976, to be applied against the 13.33% share.  No payments were made pursuant to the agreement after May 1976, but the contractual obligation continued through July 1978 at which time Katy terminated the agreement with the offshore corporation.Throughout the period discussed above, Katy, Carroll and Jacobs made a series of misrepresentations to shareholders and investors regarding the production-sharing contract.  According to Katy, a single find of a major field in the region would be worth USD 108,000,000.  According to the complaint, exploration of the area covered by the contract ceased pending the resolution of certain tax problems, but was anticipated to resume before the end of 1978.",A18TCR555RWUZV,No,2015-04-07 23:44:11 UTC
3X2LT8FDHWIGQLRPW64D3XRJQKQ8WS,34,INTERNATIONAL MATERIALS SOLUTIONS,"Sometime in 1995, Thomas Qualey, President of IMS, met with a Lieutenant Colonel in the Brazilian Air Force who was stationed as a Foreign Liaison Officer at the Wright Patterson Air Force Base in Ohio.   The Lt. Col. was authorized to make purchases of military equipment on behalf of the purchasing agent of the Brazilian Air Force, the Brazilian Aeronautical Commission (""BAC"").  Sometime in 1995, the Lt. Col. and Thomas Qualey agreed that IMS would purchase fork lift trucks, recondition them and then resell them to the BAC.   The Lt. Col. would approve the BAC's purchases in exchange for payments from IMS.  Between 1995 and 1996, Thomas Qualey arranged two purchases of fork lifts for repair and resale.  After each purchase, the Lt. Col. was paid by IMS for his approval of the transaction.  IMS paid the Lt. Col. USD 42,950 for the first transaction, and received USD 229,000 in revenue from the BAC.  IMS paid the Lt. Col. USD 24,613 for the second transaction, and received USD 163,250 in revenue.  IMS falsely described the payments to the Lt. Col. as sales commissions.",A2WGW5Y3ZFBDEC,I don't know,2015-04-07 23:43:18 UTC
3HRWUH63QU27G9Z9676NVU41VIL5NW,35,INVISION,"In March 2004, GE announced its intention to acquire InVision.  The potential FCPA violations were discovered during GE's routine pre-acquisition due diligence.  In July 2004, GE and InVision voluntary disclosed the potential violations to the DOJ and SEC.  GE delayed its acquisition of InVision pending the DOJ and SEC's investigations.  Immediately following the companies settlement with the DOJ on 6 December 2004, GE completed its USD 900 million acquisition of InVision.",A2WGW5Y3ZFBDEC,Yes,2015-04-07 23:54:30 UTC
3QXFBUZ4ZKGIRW82K410DMNKTNRUGU,36,A.T. KEARNEY,"In September 2003, EDS discovered that ATKI was making improper payments to senior employees at the two Indian companies.  EDS conducted an internal investigation and voluntarily disclosed the payments to the SEC in February 2004.",A2WQ3ZGXUF5FHO,Yes,2015-04-08 00:04:46 UTC
3HXCEECSQMTZZMNCKXME1E9301XZYN,37,LATIN NODE,"In June 2007, eLandia acquired Latin Node and discovered the potentially illegal payments.  The company retained the law firm Holland & Knight to conduct an internal investigation and voluntarily disclosed the conduct to the DOJ within three months of the initial discovery.",A27PBC5O3Z5ZED,Yes,2015-04-07 23:40:09 UTC
